student_id,name,timestamp
Test02,Bunchhour,20250915_141207
Test01,Heng,20250915_141300
Test01,Heng,20250915_141322
Test02,Bunchhour,20250915_141339
Test03,Elma,20250915_141500
Test04,Panha,20250915_141646
